GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,imputed,subbed,state_code
11,2000,District of Columbia,USA,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,147124,NA,NA,NA,NA,0,0,11
11,2001,District of Columbia,USA,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,147877,NA,NA,NA,NA,0,0,11
11,2002,District of Columbia,USA,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,148630,NA,NA,NA,NA,0,0,11
11,2003,District of Columbia,USA,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,149382,NA,NA,NA,NA,0,0,11
11,2004,District of Columbia,USA,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,150135,NA,NA,NA,NA,0,0,11
11,2005,District of Columbia,USA,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,150888,NA,NA,NA,NA,0,0,11
11,2006,District of Columbia,USA,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,151641,45213,1336,0.88,29.82,0,0,11
11,2007,District of Columbia,USA,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,152394,45256,1048,0.69,29.7,0,0,11
11,2008,District of Columbia,USA,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,153146,43502,1466,0.96,28.41,0,0,11
11,2009,District of Columbia,USA,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,153899,37286,1503,0.98,24.23,0,0,11
11,2010,District of Columbia,USA,601723,14.19,57.99,1200,64267,443e3,29.6,34.81,50.03,9.1,0.22,3.46,0.04,2.1,0.24,154652,32473,1572,1.02,21,0,0,11
11,2011,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,158064,30733,1484,0.94,19.44,0,0,11
11,2012,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,161475,29121,1531,0.95,18.03,0,0,11
11,2013,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,164887,NA,NA,NA,NA,0,0,11
11,2014,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,168298,NA,NA,NA,NA,0,0,11
11,2015,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,171710,NA,NA,NA,NA,0,0,11
11,2016,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,175121,27434,4537,2.59,15.67,0,0,11
11,2017,District of Columbia,USA,647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,NA,NA,NA,NA,NA,NA,NA,11
11001,2000,District of Columbia,District of Columbia,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,147124,NA,NA,NA,NA,0,0,11
11001,2001,District of Columbia,District of Columbia,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,147877,NA,NA,NA,NA,0,0,11
11001,2002,District of Columbia,District of Columbia,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,148630,NA,NA,NA,NA,0,0,11
11001,2003,District of Columbia,District of Columbia,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,149382,NA,NA,NA,NA,0,0,11
11001,2004,District of Columbia,District of Columbia,572059,20.22,59.24,618,40127,157200,24.8,27.83,59.45,7.86,0.22,2.63,0.05,1.68,0.29,150135,NA,NA,NA,NA,0,0,11
11001,2005,District of Columbia,District of Columbia,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,150888,NA,NA,NA,NA,0,0,11
11001,2006,District of Columbia,District of Columbia,588433,14.9,54.9,971,56519,440500,29.1,31.9,54.64,8.47,0.22,2.93,0.07,1.38,0.39,151641,45213,1336,0.88,29.82,0,0,11
